Model,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Voting Ensemble,Validation,0.9324739103744628,0.981675392670157,0.7035647279549718,0.819672131147541,0.8499503828207207
Voting Ensemble,Test,0.9351472995090017,0.9770992366412213,0.7197750702905342,0.8289260658391797,0.8575321308008546
Bayesian Weighted Ensemble,Validation,0.9328831594024964,0.9829842931937173,0.7045028142589118,0.8207650273224044,0.9330474964806419
Bayesian Weighted Ensemble,Test,0.9339198036006546,0.9720812182741116,0.717900656044986,0.8258760107816712,0.931551258067499
